feedexportid,Year,HS_ITEM,TYPE,COUNTRY,QUANTITY_KG,PORT_VALUE,Unit_Value,DESCRIPTION
1,2003,23099030,EXPORTS,ST. LUCIA,2950102,4639165,1.5725,POULTRY FEED, PREPARED
2,2003,23099030,EXPORTS,DOMINICA,1035885,3072279,2.9658,POULTRY FEED, PREPARED
3,2003,23099030,EXPORTS,BARBADOS,1247632,2150619,1.7238,POULTRY FEED, PREPARED
4,2003,23099030,EXPORTS,ANTIGUA AND BARBUDA,637084,959010,1.5053,POULTRY FEED, PREPARED
5,2003,23099030,EXPORTS,ST. VINCENT/GRENADINES,255008,379342,1.4876,POULTRY FEED, PREPARED
6,2003,23099030,EXPORTS,ARUBA,63115,94180,1.4922,POULTRY FEED, PREPARED
7,2003,23099030,EXPORTS,BRITISH VIRGIN ISLANDS,47640,86832,1.8227,POULTRY FEED, PREPARED
8,2003,23099030,EXPORTS,GUYANA,26795,55720,2.0795,POULTRY FEED, PREPARED
9,2003,23099030,EXPORTS,MONTSERRAT,29588,47674,1.6113,POULTRY FEED, PREPARED
10,2003,23099030,EXPORTS,GRENADA,3545,11263,3.1772,POULTRY FEED, PREPARED
11,2003,23099030,EXPORTS,ST. KITTS AND NEVIS,7088,10810,1.5251,POULTRY FEED, PREPARED
12,2004,23099030,EXPORTS,ST. LUCIA,3891636,6606702,1.6977,POULTRY FEED, PREPA
13,2004,23099030,EXPORTS,DOMINICA,816850,1462759,1.7907,POULTRY FEED, PREPA
14,2004,23099030,EXPORTS,BARBADOS,762206,1348778,1.7696,POULTRY FEED, PREPA
15,2004,23099030,EXPORTS,ANTIGUA AND BARBUDA,665201,1129072,1.6973,POULTRY FEED, PREPA
16,2004,23099030,EXPORTS,ARUBA,294774,484664,1.6442,POULTRY FEED, PREPA
17,2004,23099030,EXPORTS,ST. VINCENT/GRENADINES,130052,186868,1.4369,POULTRY FEED, PREPA
18,2004,23099030,EXPORTS,BRITISH VIRGIN ISLANDS,72023,137557,1.9099,POULTRY FEED, PREPA
19,2004,23099030,EXPORTS,ANGUILLA,29138,46151,1.5839,POULTRY FEED, PREPA
20,2004,23099030,EXPORTS,MONTSERRAT,18338,31489,1.7171,POULTRY FEED, PREPA
21,2004,23099030,EXPORTS,GRENADA,4968,9629,1.9382,POULTRY FEED, PREPA
22,2004,23099030,EXPORTS,ST. KITTS AND NEVIS,4680,7843,1.6759,POULTRY FEED, PREPA
23,2005,23099030,EXPORTS,ST. LUCIA,4059116,6994946,1.7233,POULTRY FEED, PREPARED
24,2005,23099030,EXPORTS,BARBADOS,766008,1333291,1.7406,POULTRY FEED, PREPARED
25,2005,23099030,EXPORTS,DOMINICA,725615,1267583,1.7469,POULTRY FEED, PREPARED
26,2005,23099030,EXPORTS,ANTIGUA AND BARBUDA,312603,532928,1.7048,POULTRY FEED, PREPARED
27,2005,23099030,EXPORTS,ARUBA,175051,280546,1.6027,POULTRY FEED, PREPARED
28,2005,23099030,EXPORTS,BRITISH VIRGIN ISLANDS,91039,175862,1.9317,POULTRY FEED, PREPARED
29,2005,23099030,EXPORTS,MONTSERRAT,26844,46105,1.7175,POULTRY FEED, PREPARED
30,2005,23099030,EXPORTS,GUYANA,11880,45454,3.8261,POULTRY FEED, PREPARED
31,2005,23099030,EXPORTS,NETHERLANDS ANTILLES,20048,34267,1.7092,POULTRY FEED, PREPARED
32,2005,23099030,EXPORTS,ANGUILLA,14625,23615,1.6147,POULTRY FEED, PREPARED
33,2005,23099030,EXPORTS,ST. VINCENT/GRENADINES,8514,20587,2.418,POULTRY FEED, PREPARED
34,2005,23099030,EXPORTS,ST. KITTS AND NEVIS,8775,14591,1.6628,POULTRY FEED, PREPARED
35,2005,23099030,EXPORTS,GRENADA,2015,9694,4.8109,POULTRY FEED, PREPARED
36,2005,23099030,EXPORTS,U. S. VIRGIN ISLANDS,2025,3878,1.9151,POULTRY FEED, PREPARED
37,2006,23099030,EXPORTS ,ST. LUCIA,2257823,4249930,1.8823,POULTRY FEED
38,2006,23099030,EXPORTS ,BARBADOS,664336,1253816,1.8873,POULTRY FEED
39,2006,23099030,EXPORTS ,DOMINICA,550023,1018227,1.8512,POULTRY FEED
40,2006,23099030,EXPORTS ,SURINAME,428114,952831,2.2256,POULTRY FEED
41,2006,23099030,EXPORTS ,ANTIGUA AND BARBUDA,340954,625908,1.8358,POULTRY FEED
42,2006,23099030,EXPORTS ,GUYANA,192570,403700,2.0964,POULTRY FEED
43,2006,23099030,EXPORTS ,ARUBA,90093,158748,1.762,POULTRY FEED
44,2006,23099030,EXPORTS ,BRITISH VIRGIN ISLANDS,90101,149012,1.6538,POULTRY FEED
45,2006,23099030,EXPORTS ,NETHERLAN,68959,121877,1.7674,POULTRY FEED
46,2006,23099030,EXPORTS ,MONTSERRAT,32700,63419,1.9394,POULTRY FEED
47,2006,23099030,EXPORTS ,ST. VINCENT/GRENADINES,26848,51879,1.9323,POULTRY FEED
48,2006,23099030,EXPORTS ,GRENADA,1310,11800,9.0076,POULTRY FEED
49,2006,23099030,EXPORTS ,ST. KITTS,2695,5184,1.9236,POULTRY FEED
